id,name,active,plan_id/id,company_id/id,partner_id/id
account_analytic_account_trns_eka,TRNS-EKA,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_trns_jem,TRNS-JEM,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_trns_pel,TRNS-PEL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_trns_pool,TRNS-POOL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_trns_sales,TRNS-SALES,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_wlf_col,WLF-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_wlf_eka,WLF-EKA,1,Jinasena_MasterData_Accounting.account_analytic_plan_cost_center,base.main_company,
account_analytic_account_bulk_st_ek,BULK-ST-EK,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_cas_st_col,CAS-ST-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_dis_st_col,DIS-ST-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_head_off_s,HEAD OFF-S,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_indus_dv,INDUS-DV,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_keptipl_sc,KEPTIPL-SC,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_main_st_cl,MAIN-ST-CL,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_mobile_ag,MOBILE-AG,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_mobile_ap,MOBILE-AP,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_mobile_sp,MOBILE-SP,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_nawala_sc,NAWALA-SC,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_nchchi_sc,NCHCHI-SC,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_oil_st_col,OIL-ST-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_putlam_sc,PUTLAM-SC,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_puttlam_sc,PUTTLAM-SC,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_spr_st_col,SPR-ST-COL,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_thimb_bhsp,THIMB-BHSP,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_thimb_elep,THIMB-ELEP,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_thimb_gnsp,THIMB-GNSP,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_thimb_irrp,THIMB-IRRP,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_thimb_rep,THIMB-REP,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_thimb_sola,THIMB-SOLA,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_thimb_watp,THIMB-WATP,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_thimb_wmsp,THIMB-WMSP,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_thimbgs_sc,THIMBGS-SC,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_wat_apura,WAT-APURA,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_wrehs_eka,WREHS-EKA,1,Jinasena_MasterData_Accounting.account_analytic_plan_sales_center,base.main_company,
account_analytic_account_bj_fg_pc,BJ-FG-PC,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_bjg_7180,BJG-7180,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_bjg_7188,BJG-7188,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_boost_pkg,BOOST-PKG,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_caj_2080,CAJ 2080,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_can_5890,CAN-5890,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
account_analytic_account_car_9412,CAR 9412,1,Jinasena_MasterData_Accounting.account_analytic_plan_product_group,base.main_company,
