id,name,currency_id/id,code,account_type,include_initial_balance,internal_group,reconcile,company_id/id,create_asset,multiple_assets_per_line
account_account_depreciation_pattern_design,DEPRECIATION - PATTERN & DESIGN,base.LKR,51030070,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_depreciation_factory_equipment,DEPRECIATION - FACTORY EQUIPMENT,base.LKR,51030090,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_maintenance_tools,MAINTENANCE - TOOLS,base.LKR,51040010,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_maintenance_factory,MAINTENANCE - FACTORY,base.LKR,51040030,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_maintenance_plant_and_machinary,MAINTENANCE - PLANT AND MACHINARY,base.LKR,51040050,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_maintenance_pattern_design,MAINTENANCE - PATTERN & DESIGN,base.LKR,51040070,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_maintenance_factory_equipment,MAINTENANCE - FACTORY EQUIPMENT,base.LKR,51040090,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_maintenance_factory_building,MAINTENANCE - FACTORY BUILDING,base.LKR,51040110,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_electricity,ELECTRICITY,base.LKR,51050010,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_expenses_water_sewerage_charges,EXPENSES - WATER & SEWERAGE CHARGES,base.LKR,51050030,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_expenses_rates_and_taxes,EXPENSES - RATES AND TAXES,base.LKR,51050050,expense_direct_cost,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_foreign_exchange_gain,FOREIGN EXCHANGE GAIN,,61010010,income_other,,income,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_inventory_profit,INVENTORY PROFIT,base.LKR,61010030,income_other,,income,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_sales_commision,SALES COMMISION,base.LKR,71010010,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_sales_promotion,SALES PROMOTION,base.LKR,71010030,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_advertising_general,ADVERTISING - GENERAL,base.LKR,71010050,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_expenses_transport,EXPENSES - TRANSPORT,base.LKR,71010070,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_directors_fees,DIRECTORS' FEES,base.LKR,72010010,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_salaries,STAFF - SALARIES,base.LKR,72020010,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_e_p_f,STAFF - E.P.F.,base.LKR,72020030,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_e_t_f,STAFF - E.T.F.,base.LKR,72020050,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_ex_gratia,STAFF - EX-GRATIA,base.LKR,72020070,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_casual_salaries,STAFF - CASUAL SALARIES,base.LKR,72020090,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_bonus,STAFF - BONUS,base.LKR,72020110,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_gratuity,STAFF - GRATUITY,base.LKR,72020130,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_insurance,STAFF - INSURANCE,base.LKR,72020150,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_training,STAFF - TRAINING,base.LKR,72020170,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_welfare_expenses,STAFF - WELFARE EXPENSES,base.LKR,72020190,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_medical,STAFF - MEDICAL,base.LKR,72020210,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_pension,STAFF - PENSION,base.LKR,72020230,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_overtime,STAFF - OVERTIME,base.LKR,72020250,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_staff_travelling,STAFF - TRAVELLING,base.LKR,72020270,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_centre_expenses,CENTRE EXPENSES,base.LKR,72030010,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_scrap_issues_4467,SCRAP ISSUES,base.LKR,72030020,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_cost_of_imported_samples,COST OF IMPORTED SAMPLES,base.LKR,72030030,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_expenses_product_modifications_repairs,EXPENSES - PRODUCT MODIFICATIONS & REPAIRS,base.LKR,72030050,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_expenses_generator_running,EXPENSES - GENERATOR RUNNING,base.LKR,72030070,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_expenses_r_d,EXPENSES - R. & D.,base.LKR,72030090,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_bank_charges,BANK CHARGES,base.LKR,72030110,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_general_insurance,GENERAL INSURANCE,base.LKR,72030130,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_general_medical,GENERAL MEDICAL,base.LKR,72030150,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_licence_fees,LICENCE FEES,base.LKR,72030170,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_office_expenses,OFFICE EXPENSES,base.LKR,72030190,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_rent,RENT,base.LKR,72030210,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_security,SECURITY,base.LKR,72030230,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_telephone,TELEPHONE,base.LKR,72030250,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_telex_internet_email,"TELEX,. INTERNET, EMAIL",base.LKR,72030270,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_local_travelling_bata,LOCAL TRAVELLING & BATA,base.LKR,72030290,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_postag_and_telegrams,POSTAG AND TELEGRAMS,base.LKR,72030310,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_stationery,STATIONERY,base.LKR,72030330,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_royalty,ROYALTY,base.LKR,72030350,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_disposal_of_assets,DISPOSAL OF ASSETS,base.LKR,72030370,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_invoice_rounding_off,INVOICE ROUNDING OFF,base.LKR,72030390,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_inventory_loss,INVENTORY LOSS,base.LKR,72030410,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_expenses_general,EXPENSES - GENERAL,base.LKR,72030430,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_stamp_duty,STAMP DUTY,base.LKR,72030450,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
account_account_charity_donation,CHARITY & DONATION,base.LKR,72030470,expense,,expense,1,Jinasena_MasterData_Common.res_company_jinasena_agricultural_machinery_pvt_ltd,no,
